file_name,sentence,verified,checked
data/train/2_0.mp3,"Okay, so creating Debian-based embedded systems using debos.",0,1
data/train/2_1.mp3,My name's Chris and I'm an engineer at Collabora.,0,0
data/train/2_2.mp3,I work on creating custom distributions for our clients.,0,0
data/train/2_3.mp3,"Usually these custom distros end up running on embedded platforms, embedded little boards that customers have bought like Raspberry Pis, those sorts of development boards, but sometimes they end up on customer-specific hardware.",0,0
data/train/2_4.mp3,Occasionally they end up running in the cloud on a virtual machine.,0,0
data/train/2_5.mp3,"So really, the images that I create end up running kind of everywhere, really.",0,0
data/train/2_6.mp3,I work on continuous integration and packaging of the customer software.,0,0
data/train/2_7.mp3,"So basically, customers normally don't care so much about packaging their software, they just want their software to work.",0,0
data/train/2_8.mp3,So we take the hassle out of that and package the software for them.,0,0
data/train/2_9.mp3,We make sure that their devices can be upgraded over the air.,0,0
data/train/2_10.mp3,"We also implement fail-safes so that if the over-the-air upgrade fails, the power's taken out of the power jack or the internet connection's gone, we mitigate these sort of problems.",0,0
data/train/2_11.mp3,"Also, I work on the tooling to make all of these things happen.",0,0
data/train/2_12.mp3,"So most recently, I've been working on debos and fake machine.",0,1
data/train/2_13.mp3,"So hopefully, this presentation is going to give you a little bit of insight on what I've been working on over the past year or so.",0,0
data/train/2_14.mp3,"I'm also learning some Rust, which is proven to be quite useful for some of my daily tasks.",0,0
data/train/2_15.mp3,Small scripts I've been writing in Python and Go in the past are now being written in Rust.,0,0
data/train/2_16.mp3,Slowly but surely I'm getting there and the future is bright.,0,0
data/train/2_17.mp3,So today I'm going to talk to you about what actually debos is and how it compares to other tools.,0,1
data/train/2_18.mp3,I'm also going to go through how to use it and the future plans that we've got for the tooling.,0,0
data/train/2_19.mp3,Hopefully we'll get a chance for a question and answer session at the end but,0,0
data/train/2_20.mp3,Please do download the slides and copy my email address and feel free to email me if you have any questions that you feel weren't covered today.,0,0
data/train/2_21.mp3,I'll do my best to get back to you.,0,0
data/train/2_22.mp3,"Also, I would suggest downloading the slides so you can get access to some of the blue links that I've dotted around the presentation.",0,0
data/train/2_23.mp3,These should give you a little bit more context in places.,0,0
data/train/2_24.mp3,"So the link on this slide will show you the introduction to YAML, yet another markup language, which is extensively used throughout debos.",0,1
data/train/2_25.mp3,"And also lots of other continuous integration systems like GitHub Actions, GitLab CI, these all use YAML.",0,0
data/train/2_26.mp3,So I'd highly recommend having a look.,0,0
data/train/2_27.mp3,YAML is a fairly basic markup language.,0,0
data/train/2_28.mp3,You should be able to follow along with the examples and get a feel for how the markup language works.,0,0
data/train/2_29.mp3,But there are some details which the tutorial goes into,0,0
data/train/2_30.mp3,"quite well, so I'd recommend checking that link out.",0,0
data/train/2_31.mp3,So first I'd like to explain what a GNU Linux distribution is.,0,0
data/train/2_32.mp3,In my opinion it's a collection of software packages developed by like-minded developers,0,0
data/train/2_33.mp3,"Um, these packages follow a set of guidelines to meet this distribution.",0,0
data/train/2_34.mp3,"Um, so.",0,0
data/train/2_35.mp3,All the packages end up working together quite well.,0,0
data/train/2_36.mp3,"Uh, you don't end up with too many brokerages, hopefully, and the developers end up fixing bugs in the distribution and passing the bugs upstream and releasing new versions of the upstream software in the distribution.",0,0
data/train/2_37.mp3,Um.,0,0
data/train/2_38.mp3,So each one of the distributions have different goals.,0,0
data/train/2_39.mp3,So Debian is a distribution which uses apt for its package management and dpkg.,0,0
data/train/2_40.mp3,Red Hat use rpm and yum for their package management.,0,0
data/train/2_41.mp3,So there are lots of choices and design decisions which,0,0
data/train/2_42.mp3,"each distribution makes, and everyone has their own preference.",0,0
data/train/2_43.mp3,"I mean, my preference personally is Debian.",0,0
data/train/2_44.mp3,"I've been working with Debian since the 2000s, so I am very familiar with Debian.",0,0
data/train/2_45.mp3,"But at the same time, I don't really know a lot about Red Hat or Fedora, so I would suggest",0,0
data/train/2_46.mp3,"asking someone else about Red Hat Fedora, not me.",0,1
data/train/2_47.mp3,But I think one thing that we can all agree on is the usual trend at the moment is for embedded targets to run a custom image generated by something like Yocto or Buildroot rather than run a full distribution.,0,0
data/train/2_48.mp3,"Hopefully with tools like debos, we can change that and let distributions run on embedded targets.",0,1
data/train/2_49.mp3,So why might you want to create your own distribution?,0,0
data/train/2_50.mp3,So your project might have different targets.,0,0
data/train/2_51.mp3,So your project might want to run on embedded board or multiple types of embedded board.,0,0
data/train/2_52.mp3,"It might want to run on a PC or it might want to run in the cloud, or it may even want to run a combination of those.",0,0
data/train/2_53.mp3,"And usually you can buy, for instance, hardware development kits.",0,0
data/train/2_54.mp3,These are supplied with a general purpose distribution that the,0,0
data/train/2_55.mp3,the developers have made for that development kit.,0,0
data/train/2_56.mp3,"And usually these are based on Debian or Ubuntu, and they're quite bad.",0,0
data/train/2_57.mp3,"I mean, they've got a lot of unnecessary, insecure, and outdated packages, and they're incompatible with updating.",0,0
data/train/2_58.mp3,And they've done a lot of hacks for that platform as well.,0,0
data/train/2_59.mp3,So your own distribution would solve these issues quite nicely.,0,0
data/train/2_60.mp3,"From scratch, it's a lot of hard work to maintain a distribution.",0,0
data/train/2_61.mp3,So my suggestion is there's no need to reinvent the wheel and you should rebase or base your distribution on a proven technology like Debian.,0,0
data/train/2_62.mp3,"So Yocto and Buildroot, usually the images are only for embedded platforms.",0,0
data/train/2_63.mp3,"I had our Yocto expert shout at me last time I said this, no, no, no, you can run Yocto images in the cloud now.",0,0
data/train/2_64.mp3,But I would likely say that it's a lot harder than to have a lot of specific knowledge of how to run these images in the cloud.,0,0
data/train/2_65.mp3,"They create a nice custom distribution or a custom image, but it can become a maintenance nightmare when you want to update software or create packages for your own software.",0,0
data/train/2_66.mp3,"All the packages are compiled on your own machine, which some may say is a benefit, but I personally think it is a negative.",0,0
data/train/2_67.mp3,Having to recompile a window manager every time I want to build a new image for different platforms is kind of,0,0
data/train/2_68.mp3,"not a benefit in my view, um, there's a high learning curve.",0,0
data/train/2_69.mp3,So my suggestion is why make things hard for yourself?,0,0
data/train/2_70.mp3,"Um, my suggestion is to use Debian as a base for your, for your image.",0,0
data/train/2_71.mp3,"So Debian is both traditionally seen as a desktop operating system, but recent years, a lot of effort has gone into enabling embedded targets and lots of different embedded targets.",0,0
data/train/2_72.mp3,"I think this mainly started with the Raspberry Pi, um, that really drove the embedded sort of world.",0,0
data/train/2_73.mp3,into some of the Debian developers.,0,0
data/train/2_74.mp3,"Debian was released in 1993, and it's widely used, and there are lots and lots of volunteers who shape Debian, inform Debian developers, Debian maintainers, and they follow a social contract called the Debian Free Software Guidelines, and they have social contracts as well, which basically means that all developers work to a common set of",0,0
data/train/2_75.mp3,rules and they're free to change these rules so long as the changes make sense.,0,0
data/train/2_76.mp3,I think that's a great way of working.,0,0
data/train/2_77.mp3,It's really community spirit.,0,0
data/train/2_78.mp3,You're not being forced into doing things that you don't want to do by large corporations.,0,0
data/train/2_79.mp3,It's all owned by the community.,0,0
data/train/2_80.mp3,So I think that's really nice.,0,0
data/train/2_81.mp3,These developers,0,0
data/train/2_82.mp3,"have written over 50,000 packages and libraries and you can easily install or upgrade these using apps.",0,0
data/train/2_83.mp3,The community is great.,0,0
data/train/2_84.mp3,Unfortunately these mailing lists but if you're used to using mailing lists then this is really not a problem.,0,0
data/train/2_85.mp3,There are lots of tutorials on the internet and it's fairly easy to get started.,0,0
data/train/2_86.mp3,"We have stable and testing distributions as well as unstable, which have bleeding edge packages.",0,0
data/train/2_87.mp3,"Timely security updates go into the stable release and unstable, or seed as it's known, usually gets the latest bleeding edge packages.",0,0
data/train/2_88.mp3,"And as I've already said, no one company leads the development or the direction of the project.",0,0
data/train/2_89.mp3,The developers themselves lead the project.,0,0
data/train/2_90.mp3,which in my view is very important.,0,0
data/train/2_91.mp3,"So using Debian as a base in summary lets you concentrate on the most important part of the project, your application.",0,0
data/train/2_92.mp3,You haven't got to worry about the base operating system behind it and all the things that happen there.,0,0
data/train/2_93.mp3,So some disadvantages with Debian.,0,0
data/train/2_94.mp3,Debian only caters for systemd.,0,0
data/train/2_95.mp3,This is changing.,0,0
data/train/2_96.mp3,there are some changes in force to allow for other system managers.,0,0
data/train/2_97.mp3,But I don't see this as a big disadvantage personally.,0,0
data/train/2_98.mp3,Most of our projects use systemd and use systemd very well.,0,0
data/train/2_99.mp3,"The other thing is Debian packages are compiled with glibc, so",0,1
data/train/2_100.mp3,"This can be a problem for very small embedded targets, but typically most projects now have got a fair amount of RAM and a fairly big CPU.",0,0
data/train/2_101.mp3,"I mean, it doesn't make a lot of sense in some cases to have anything smaller than a dual core sort of embedded processor.",0,0
data/train/2_102.mp3,So I would suggest that these two disadvantages don't really matter so much these days.,0,0
data/train/2_103.mp3,"Debian was designed with desktop or server use in mind, but as I said originally,",0,0
data/train/2_104.mp3,"It is coming onto embedded targets, but it needs a little bit more work than if you were to install it on the desktop.",0,0
data/train/2_105.mp3,"So if you're installing on the desktop, you can easily just plug in a USB with Debian installed on the USB and install that to your hard drive quite easily.",0,0
data/train/2_106.mp3,"With embedded platforms, typically you will run an image on an SD card.",0,0
data/train/2_107.mp3,The Debian installer typically won't work for a custom distribution.,0,0
data/train/2_108.mp3,"So there's some challenges there, but.",0,0
data/train/2_109.mp3,debos actually helps with installing the system on an image so hopefully by the end of this talk you will understand a little bit more about that.,0,1
data/train/2_110.mp3,Debian are a little bit conservative of new technologies but again this isn't so bad.,0,0
data/train/2_111.mp3,I think that this is quite a good thing to be conservative of new things because sometimes new things aren't always good.,0,0
data/train/2_112.mp3,"There's limited enterprise support, but there is paid support by companies like Collabora to help customers with their projects.",0,1
data/train/2_113.mp3,"And Debian also has quite a slow release cycle, so stable upgrades happen every kind of two years, but that's not always a bad thing.",0,0
data/train/2_114.mp3,"And as I've already said, there are fresh packages in Unstable, which suits most users.",0,0
data/train/2_115.mp3,So how would you create a custom Debian image?,0,0
data/train/2_116.mp3,So normally when you want to create a custom Debian image you would create an image using DD.,0,1
data/train/2_117.mp3,You'd basically flash the image with all zeros to begin with on your local hard drive.,0,0
data/train/2_118.mp3,You'd insert a partition table using Fdisk and format these partitions.,0,1
data/train/2_119.mp3,You'd mount the partitions on a loop device and then you can chroot into the mounted image and,0,1
data/train/2_120.mp3,"Debootstrap a basic Debian file system, install packages using apt, and then you can basically work on it as if it was a normal system on your hard drive by setting the hostname, setting up user accounts, configuration files.",0,0
data/train/2_121.mp3,"And then at the end of all of that, you want to unmount the image, clean up the loop devices, compress your image, save the build, logs.",0,0
data/train/2_122.mp3,"And then hopefully after that, you've got a nice image.",0,0
data/train/2_123.mp3,It's nice until the whole lot breaks and,0,0
data/train/2_124.mp3,"Also, you have these problems where it works on your machine, but it doesn't work in the continuous integration machine, or it doesn't work on other developers' machines.",0,0
data/train/2_125.mp3,There are lots of issues with this kind of script-based setup.,0,0
data/train/2_126.mp3,There are lots of tools out there already that follow this kind of routine.,0,0
data/train/2_127.mp3,"There's a presentation called The Many Methods to Build a Debian Image by Riku, which summarizes the most popular tools.",0,0
data/train/2_128.mp3,Usually these other tools serve a very specific purpose.,0,0
data/train/2_129.mp3,"So originally, when I first started looking at Debian systems, I was looking at a tool called Spindle, which basically created Raspberry Pi images, but the images were very specific just for Raspberry Pi.",0,0
data/train/2_130.mp3,"So at the time I was looking at creating a BeagleBone Black image, and I couldn't create an image using Spindle for that without a lot of hacking.",0,0
data/train/2_131.mp3,So these other tools also,0,0
data/train/2_132.mp3,"have random failures, which we call it.",0,0
data/train/2_133.mp3,"debos is inherently a lot more robust against these failures, and it's also a lot more flexible than these other tools that serve very specific purposes.",0,1
data/train/2_134.mp3,"debos generates your custom image from one configuration file, which can be stored in version control, which is quite nice.",0,1
data/train/2_135.mp3,We also use GitLab continuous integration to build images as soon as they're pushed into the virtual control.,0,0
data/train/2_136.mp3,I'm going to go into a little bit of that in this presentation as well.,0,0
data/train/2_137.mp3,"Collabora are constantly evolving and improving debos and Apertis, which is a project by Collabora and Bosch, is continuously evolving debos as well because",0,1
data/train/2_138.mp3,Apertis use debos to generate the images for their boards.,0,1
data/train/2_139.mp3,So that's very good.,0,0
data/train/2_140.mp3,"Basically, I think you're going to get started with debos quicker than some of these other tools as well.",0,1
data/train/2_141.mp3,So the solution to all of these problems is debos.,0,1
data/train/2_142.mp3,"Basically, it uses a library called FakeMachine to create a virtual machine on your computer.",0,0
data/train/2_143.mp3,"Disks are attached to the virtual machine, so we don't use loop devices.",0,0
data/train/2_144.mp3,"And that's very good because these loop devices, as we've discussed, are very fragile.",0,0
data/train/2_145.mp3,We have a recipe file which contains actions or the steps to create your image.,0,0
